1.

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
Jean Fleaur                                            50         50 Shipping                              1500
Martha Sullivan                                        50         50 Shipping                              1500
Girard Geoni                                           50         50 Shipping                              1500
Nandita Sarchand                                       50         50 Shipping                              1500
Alexis Bull                                            50         50 Shipping                              1500
Julia Dellinger                                        50         50 Shipping                              1500
Anthony Cabrio                                         50         50 Shipping                              1500
Kelly Chung                                            50         50 Shipping                              1500
Jennifer Dilly                                         50         50 Shipping                              1500
Timothy Gates                                          50         50 Shipping                              1500

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Randall Perkins                                        50         50 Shipping                              1500
Sarah Bell                                             50         50 Shipping                              1500
Britney Everett                                        50         50 Shipping                              1500
Samuel McCain                                          50         50 Shipping                              1500
Vance Jones                                            50         50 Shipping                              1500
Alana Walsh                                            50         50 Shipping                              1500
Kevin Feeney                                           50         50 Shipping                              1500

106çsÇ™ëIëÇ≥ÇÍÇ‹ÇµÇΩÅB 

2.

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Donald OConnell                                        50         10 Administration                        1700
Douglas Grant                                          50         10 Administration                        1700
Jennifer Whalen                                        10         10 Administration                        1700
Michael Hartstein                                      20         10 Administration                        1700
Pat Fay                                                20         10 Administration                        1700
Susan Mavris                                           40         10 Administration                        1700
Hermann Baer                                           70         10 Administration                        1700
Shelley Higgins                                       110         10 Administration                        1700
William Gietz                                         110         10 Administration                        1700
Steven King                                            90         10 Administration                        1700
Neena Kochhar                                          90         10 Administration                        1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Lex De Haan                                            90         10 Administration                        1700
Alexander Hunold                                       60         10 Administration                        1700
Bruce Ernst                                            60         10 Administration                        1700
David Austin                                           60         10 Administration                        1700
Valli Pataballa                                        60         10 Administration                        1700
Diana Lorentz                                          60         10 Administration                        1700
Nancy Greenberg                                       100         10 Administration                        1700
Daniel Faviet                                         100         10 Administration                        1700
John Chen                                             100         10 Administration                        1700
Ismael Sciarra                                        100         10 Administration                        1700
Jose Manuel Urman                                     100         10 Administration                        1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Luis Popp                                             100         10 Administration                        1700
Den Raphaely                                           30         10 Administration                        1700
Alexander Khoo                                         30         10 Administration                        1700
Shelli Baida                                           30         10 Administration                        1700
Sigal Tobias                                           30         10 Administration                        1700
Guy Himuro                                             30         10 Administration                        1700
Karen Colmenares                                       30         10 Administration                        1700
Matthew Weiss                                          50         10 Administration                        1700
Adam Fripp                                             50         10 Administration                        1700
Payam Kaufling                                         50         10 Administration                        1700
Shanta Vollman                                         50         10 Administration                        1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Kevin Mourgos                                          50         10 Administration                        1700
Julia Nayer                                            50         10 Administration                        1700
Irene Mikkilineni                                      50         10 Administration                        1700
James Landry                                           50         10 Administration                        1700
Steven Markle                                          50         10 Administration                        1700
Laura Bissot                                           50         10 Administration                        1700
Mozhe Atkinson                                         50         10 Administration                        1700
James Marlow                                           50         10 Administration                        1700
TJ Olson                                               50         10 Administration                        1700
Jason Mallin                                           50         10 Administration                        1700
Michael Rogers                                         50         10 Administration                        1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Ki Gee                                                 50         10 Administration                        1700
Hazel Philtanker                                       50         10 Administration                        1700
Renske Ladwig                                          50         10 Administration                        1700
Stephen Stiles                                         50         10 Administration                        1700
John Seo                                               50         10 Administration                        1700
Joshua Patel                                           50         10 Administration                        1700
Trenna Rajs                                            50         10 Administration                        1700
Curtis Davies                                          50         10 Administration                        1700
Randall Matos                                          50         10 Administration                        1700
Peter Vargas                                           50         10 Administration                        1700
John Russell                                           80         10 Administration                        1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Karen Partners                                         80         10 Administration                        1700
Alberto Errazuriz                                      80         10 Administration                        1700
Gerald Cambrault                                       80         10 Administration                        1700
Eleni Zlotkey                                          80         10 Administration                        1700
Peter Tucker                                           80         10 Administration                        1700
David Bernstein                                        80         10 Administration                        1700
Peter Hall                                             80         10 Administration                        1700
Christopher Olsen                                      80         10 Administration                        1700
Nanette Cambrault                                      80         10 Administration                        1700
Oliver Tuvault                                         80         10 Administration                        1700
Janette King                                           80         10 Administration                        1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Patrick Sully                                          80         10 Administration                        1700
Allan McEwen                                           80         10 Administration                        1700
Lindsey Smith                                          80         10 Administration                        1700
Louise Doran                                           80         10 Administration                        1700
Sarath Sewall                                          80         10 Administration                        1700
Clara Vishney                                          80         10 Administration                        1700
Danielle Greene                                        80         10 Administration                        1700
Mattea Marvins                                         80         10 Administration                        1700
David Lee                                              80         10 Administration                        1700
Sundar Ande                                            80         10 Administration                        1700
Amit Banda                                             80         10 Administration                        1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Lisa Ozer                                              80         10 Administration                        1700
Harrison Bloom                                         80         10 Administration                        1700
Tayler Fox                                             80         10 Administration                        1700
William Smith                                          80         10 Administration                        1700
Elizabeth Bates                                        80         10 Administration                        1700
Sundita Kumar                                          80         10 Administration                        1700
Ellen Abel                                             80         10 Administration                        1700
Alyssa Hutton                                          80         10 Administration                        1700
Jonathon Taylor                                        80         10 Administration                        1700
Jack Livingston                                        80         10 Administration                        1700
Kimberely Grant                                                   10 Administration                        1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Charles Johnson                                        80         10 Administration                        1700
Winston Taylor                                         50         10 Administration                        1700
Jean Fleaur                                            50         10 Administration                        1700
Martha Sullivan                                        50         10 Administration                        1700
Girard Geoni                                           50         10 Administration                        1700
Nandita Sarchand                                       50         10 Administration                        1700
Alexis Bull                                            50         10 Administration                        1700
Julia Dellinger                                        50         10 Administration                        1700
Anthony Cabrio                                         50         10 Administration                        1700
Kelly Chung                                            50         10 Administration                        1700
Jennifer Dilly                                         50         10 Administration                        1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Timothy Gates                                          50         10 Administration                        1700
Randall Perkins                                        50         10 Administration                        1700
Sarah Bell                                             50         10 Administration                        1700
Britney Everett                                        50         10 Administration                        1700
Samuel McCain                                          50         10 Administration                        1700
Vance Jones                                            50         10 Administration                        1700
Alana Walsh                                            50         10 Administration                        1700
Kevin Feeney                                           50         10 Administration                        1700
Donald OConnell                                        50         20 Marketing                             1800
Douglas Grant                                          50         20 Marketing                             1800
Jennifer Whalen                                        10         20 Marketing                             1800

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Michael Hartstein                                      20         20 Marketing                             1800
Pat Fay                                                20         20 Marketing                             1800
Susan Mavris                                           40         20 Marketing                             1800
Hermann Baer                                           70         20 Marketing                             1800
Shelley Higgins                                       110         20 Marketing                             1800
William Gietz                                         110         20 Marketing                             1800
Steven King                                            90         20 Marketing                             1800
Neena Kochhar                                          90         20 Marketing                             1800
Lex De Haan                                            90         20 Marketing                             1800
Alexander Hunold                                       60         20 Marketing                             1800
Bruce Ernst                                            60         20 Marketing                             1800

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
David Austin                                           60         20 Marketing                             1800
Valli Pataballa                                        60         20 Marketing                             1800
Diana Lorentz                                          60         20 Marketing                             1800
Nancy Greenberg                                       100         20 Marketing                             1800
Daniel Faviet                                         100         20 Marketing                             1800
John Chen                                             100         20 Marketing                             1800
Ismael Sciarra                                        100         20 Marketing                             1800
Jose Manuel Urman                                     100         20 Marketing                             1800
Luis Popp                                             100         20 Marketing                             1800
Den Raphaely                                           30         20 Marketing                             1800
Alexander Khoo                                         30         20 Marketing                             1800

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Shelli Baida                                           30         20 Marketing                             1800
Sigal Tobias                                           30         20 Marketing                             1800
Guy Himuro                                             30         20 Marketing                             1800
Karen Colmenares                                       30         20 Marketing                             1800
Matthew Weiss                                          50         20 Marketing                             1800
Adam Fripp                                             50         20 Marketing                             1800
Payam Kaufling                                         50         20 Marketing                             1800
Shanta Vollman                                         50         20 Marketing                             1800
Kevin Mourgos                                          50         20 Marketing                             1800
Julia Nayer                                            50         20 Marketing                             1800
Irene Mikkilineni                                      50         20 Marketing                             1800

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
James Landry                                           50         20 Marketing                             1800
Steven Markle                                          50         20 Marketing                             1800
Laura Bissot                                           50         20 Marketing                             1800
Mozhe Atkinson                                         50         20 Marketing                             1800
James Marlow                                           50         20 Marketing                             1800
TJ Olson                                               50         20 Marketing                             1800
Jason Mallin                                           50         20 Marketing                             1800
Michael Rogers                                         50         20 Marketing                             1800
Ki Gee                                                 50         20 Marketing                             1800
Hazel Philtanker                                       50         20 Marketing                             1800
Renske Ladwig                                          50         20 Marketing                             1800

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Stephen Stiles                                         50         20 Marketing                             1800
John Seo                                               50         20 Marketing                             1800
Joshua Patel                                           50         20 Marketing                             1800
Trenna Rajs                                            50         20 Marketing                             1800
Curtis Davies                                          50         20 Marketing                             1800
Randall Matos                                          50         20 Marketing                             1800
Peter Vargas                                           50         20 Marketing                             1800
John Russell                                           80         20 Marketing                             1800
Karen Partners                                         80         20 Marketing                             1800
Alberto Errazuriz                                      80         20 Marketing                             1800
Gerald Cambrault                                       80         20 Marketing                             1800

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Eleni Zlotkey                                          80         20 Marketing                             1800
Peter Tucker                                           80         20 Marketing                             1800
David Bernstein                                        80         20 Marketing                             1800
Peter Hall                                             80         20 Marketing                             1800
Christopher Olsen                                      80         20 Marketing                             1800
Nanette Cambrault                                      80         20 Marketing                             1800
Oliver Tuvault                                         80         20 Marketing                             1800
Janette King                                           80         20 Marketing                             1800
Patrick Sully                                          80         20 Marketing                             1800
Allan McEwen                                           80         20 Marketing                             1800
Lindsey Smith                                          80         20 Marketing                             1800

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Louise Doran                                           80         20 Marketing                             1800
Sarath Sewall                                          80         20 Marketing                             1800
Clara Vishney                                          80         20 Marketing                             1800
Danielle Greene                                        80         20 Marketing                             1800
Mattea Marvins                                         80         20 Marketing                             1800
David Lee                                              80         20 Marketing                             1800
Sundar Ande                                            80         20 Marketing                             1800
Amit Banda                                             80         20 Marketing                             1800
Lisa Ozer                                              80         20 Marketing                             1800
Harrison Bloom                                         80         20 Marketing                             1800
Tayler Fox                                             80         20 Marketing                             1800

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
William Smith                                          80         20 Marketing                             1800
Elizabeth Bates                                        80         20 Marketing                             1800
Sundita Kumar                                          80         20 Marketing                             1800
Ellen Abel                                             80         20 Marketing                             1800
Alyssa Hutton                                          80         20 Marketing                             1800
Jonathon Taylor                                        80         20 Marketing                             1800
Jack Livingston                                        80         20 Marketing                             1800
Kimberely Grant                                                   20 Marketing                             1800
Charles Johnson                                        80         20 Marketing                             1800
Winston Taylor                                         50         20 Marketing                             1800
Jean Fleaur                                            50         20 Marketing                             1800

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Martha Sullivan                                        50         20 Marketing                             1800
Girard Geoni                                           50         20 Marketing                             1800
Nandita Sarchand                                       50         20 Marketing                             1800
Alexis Bull                                            50         20 Marketing                             1800
Julia Dellinger                                        50         20 Marketing                             1800
Anthony Cabrio                                         50         20 Marketing                             1800
Kelly Chung                                            50         20 Marketing                             1800
Jennifer Dilly                                         50         20 Marketing                             1800
Timothy Gates                                          50         20 Marketing                             1800
Randall Perkins                                        50         20 Marketing                             1800
Sarah Bell                                             50         20 Marketing                             1800

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Britney Everett                                        50         20 Marketing                             1800
Samuel McCain                                          50         20 Marketing                             1800
Vance Jones                                            50         20 Marketing                             1800
Alana Walsh                                            50         20 Marketing                             1800
Kevin Feeney                                           50         20 Marketing                             1800
Donald OConnell                                        50         30 Purchasing                            1700
Douglas Grant                                          50         30 Purchasing                            1700
Jennifer Whalen                                        10         30 Purchasing                            1700
Michael Hartstein                                      20         30 Purchasing                            1700
Pat Fay                                                20         30 Purchasing                            1700
Susan Mavris                                           40         30 Purchasing                            1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Hermann Baer                                           70         30 Purchasing                            1700
Shelley Higgins                                       110         30 Purchasing                            1700
William Gietz                                         110         30 Purchasing                            1700
Steven King                                            90         30 Purchasing                            1700
Neena Kochhar                                          90         30 Purchasing                            1700
Lex De Haan                                            90         30 Purchasing                            1700
Alexander Hunold                                       60         30 Purchasing                            1700
Bruce Ernst                                            60         30 Purchasing                            1700
David Austin                                           60         30 Purchasing                            1700
Valli Pataballa                                        60         30 Purchasing                            1700
Diana Lorentz                                          60         30 Purchasing                            1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Nancy Greenberg                                       100         30 Purchasing                            1700
